company_id,metric_type,period_years,value_pct
ONGC,Sales CAGR,5,7.0
ONGC,Profit CAGR,5,10.97
PFC,Sales CAGR,5,11.08
PFC,Profit CAGR,5,15.92
PIDILITIND,Sales CAGR,5,11.84
PIDILITIND,Profit CAGR,5,13.49
PNB,Sales CAGR,5,15.9
POWERGRID,Sales CAGR,5,5.51
POWERGRID,Profit CAGR,5,9.19
RECLTD,Sales CAGR,5,13.34
RECLTD,Profit CAGR,5,19.76
RELIANCE,Sales CAGR,5,9.61
RELIANCE,Profit CAGR,5,14.68
SBILIFE,Sales CAGR,5,24.23
SBILIFE,Profit CAGR,5,7.37
SBIN,Sales CAGR,5,11.63
SBIN,Profit CAGR,5,83.41
SHREECEM,Sales CAGR,5,10.33
SHREECEM,Profit CAGR,5,11.29
SHRIRAMFIN,Sales CAGR,5,18.56
SHRIRAMFIN,Profit CAGR,5,23.49
SIEMENS,Sales CAGR,5,11.19
SIEMENS,Profit CAGR,5,19.85
SUNPHARMA,Sales CAGR,5,10.78
SUNPHARMA,Profit CAGR,5,24.54
TATACONSUM,Sales CAGR,5,15.96
TATACONSUM,Profit CAGR,5,21.6
TATAMOTORS,Sales CAGR,5,7.72
TATAPOWER,Sales CAGR,5,15.51
TATAPOWER,Profit CAGR,5,10.43
TATASTEEL,Sales CAGR,5,7.77
TCS,Sales CAGR,5,10.46
TCS,Profit CAGR,5,7.87
TECHM,Sales CAGR,5,8.4
TECHM,Profit CAGR,5,-10.99
TITAN,Sales CAGR,5,20.9
TITAN,Profit CAGR,5,20.27
TORNTPHARM,Sales CAGR,5,6.93
TORNTPHARM,Profit CAGR,5,30.59
TRENT,Sales CAGR,5,36.31
TRENT,Profit CAGR,5,73.11
TVSMOTOR,Sales CAGR,5,14.19
TVSMOTOR,Profit CAGR,5,19.67
ULTRACEMCO,Sales CAGR,5,11.33
ULTRACEMCO,Profit CAGR,5,23.89
UNIONBANK,Sales CAGR,5,23.95
UNITDSPR,Sales CAGR,5,3.92
UNITDSPR,Profit CAGR,5,15.53
VBL,Sales CAGR,5,25.74
VBL,Profit CAGR,5,47.61
VEDL,Sales CAGR,5,9.32
VEDL,Profit CAGR,5,-4.91
WIPRO,Sales CAGR,5,8.75
WIPRO,Profit CAGR,5,4.26
ZOMATO,Sales CAGR,5,55.96
ZYDUSLIFE,Sales CAGR,5,8.22
ZYDUSLIFE,Profit CAGR,5,15.91
